names,GK vs. WKY
Tgoln2_Cpd,5.956244
Sos1_Pik3r1,5.956244
Pik3c2a_Mtm1,5.945295
Sgk1_Mlst8,5.945295
Gatm_Aldh1b1,5.934346
Isca1_Hscb,5.923397
Pik3r1_Cd28,5.923397
Pik3c2a_Inppl1,5.912448
Pik3c2a_Ap4b1,5.89055
Sgk1_Kxd1,5.89055
Cpd_Ap3s1,5.879601
Sgk1_Nedd4l,5.879601
Shc1_Pik3r1,5.8686523
Snx5_Pik3c2a,5.8686523
Pik3r1_Mras,5.857703
Mga_E2f6,5.857703
Snx5_Cpd,5.857703
Pik3c2a_Cdipt,5.846754
Ephx2_Cyp2j4,5.846754
Prex1_Pik3r1,5.846754
Sgk1_Creb1,5.7920094
Trak2_Kif5c,5.7701116
Sacm1l_Pik3r1,5.7701116
Vegfa_Pik3r1,5.7591624
Rras_Pik3r1,5.7482133
Nos1_Gatm,5.7482133
Sh3kbp1_Pik3r1,5.7482133
Rsad2_Ifit1,5.7482133
Gatm_Cndp1,5.7372646
Utp4_Exosc5,5.7372646
Pik3r1_Inpp4a,5.7372646
Ptpn6_Pik3r1,5.7263155
Pik3r1_Egfr,5.7263155
Sardh_Gatm,5.7263155
Snapin_Cpd,5.7153664
Oas1a_Irf7,5.7044177
Pik3c2a_Pi4kb,5.6606216
Pik3r1_Jak1,5.6496725
Sgk1_Scnn1b,5.6496725
Sgk1_Mtor,5.638724
Vav1_Pik3r1,5.6168256
Necap1_Cpd,5.6168256
Rhoa_Pik3r1,5.6168256
Gatm_Agxt2,5.605877
Pip4k2b_Pik3r1,5.594928
Gstm4_Cat,5.594928
Tek_Pik3r1,5.57303
Usp18_Oas1a,5.57303
Sort1_Pik3c2a,5.562081
Pik3r1_Irs1,5.562081
Rab5c_Cpd,5.5511317
Srf_Sgk1,5.5511317
Tbl3_Exosc5,5.5511317
Pik3r1_Pdgfra,5.540183
Spint1_Mst1,5.529234
Nos2_Gatm,5.518285
Rrp7a_Exosc5,5.518285
Pten_Pik3c2a,5.507336
Rhog_Pik3r1,5.496387
Pik3r1_Cdipt,5.496387
Atg7_Atg10,5.496387
Hspa4l_Dnajb6,5.485438
Sgk1_Rictor,5.485438
Gnmt_Gatm,5.485438
Pik3r1_Gna11,5.46354
Rap1b_Pik3r1,5.46354
Slc9a3r2_Sgk1,5.452591
Pik3r1_Kit,5.452591
Cyp1a1_Comt,5.452591
Utp18_Exosc5,5.430693
Drd4_Comt,5.419744
Exosc5_Exosc10,5.419744
Ivd_Bckdhb,5.4087954
Gatm_Agxt,5.397846
Hspa1l_Dnajb6,5.397846
Sgk1_Foxo1,5.397846
Pik3r1_Nrg1,5.386897
Hip1r_Cpd,5.386897
Snx2_Pik3c2a,5.3649993
Sgk1_Scnn1a,5.3102546
Shmt2_Gatm,5.2993054
Pik3r1_Kitlg,5.2993054
Bckdhb_Bcat2,5.2664585
Atg14_Atg10,5.2555094
Sgk1_Mapkap1,5.2555094
Oas1a_Mx1,5.2555094
Oas1a_Ifit3,5.2445602
Shmt1_Gatm,5.2445602
Sgk1_Pdpk1,5.2445602
Cpd_Ap4b1,5.2445602
Xrcc5_Lig4,5.2226624
Snx9_Cpd,5.2007647
Pwp2_Exosc5,5.1898155
Hspa2_Dnajb6,5.1898155
Snx9_Pik3c2a,5.1898155
Sgk1_Rheb,5.1788664
Comt_Aldh3b1,5.1569686
Apoe_Abca1,5.1241217
Ugt2b10_Comt,5.1131725
Nit2_Lao1,5.102224
Gldc_Gatm,5.0912747
Maob_Comt,5.0912747
Atg5_Atg10,5.0803256
Lig4_Dclre1b,5.0803256
Atg16l1_Atg10,5.0803256
Exosc5_Exosc1,5.069377
Pcgf6_E2f6,5.058428
Maoa_Comt,5.058428
Sgk1_Rptor,5.0474787
Pik3r1_Lck,5.0474787
Tbp_Taf11,5.03653
Comt_Adh5,5.03653
Pik3r1_Grb2,5.03653
Atg12_Atg10,5.03653
Pik3r1_Fgfr1,5.025581
Pik3c3_Atg10,5.025581
Comt_Aldh3a2,5.0146317
Gatm_Cndp2,5.0146317
Rrp9_Exosc5,4.992734
Psme3_Comt,4.992734
Uxt_Uri1,4.992734
Wdr3_Exosc5,4.981785
Gatm_Acad10,4.970836
Pxmp2_Abcd2,4.970836
Trak2_Kif5b,4.959887
Xrcc4_Lig4,4.959887
Pten_Pik3r1,4.948938
Comt_Acad10,4.937989
Galm_Gale,4.937989
Per1_Csnk1d,4.937989
Pdzk1_Akap10,4.92704
Tti1_Mlst8,4.916091
Wdr43_Exosc5,4.916091
